latitude,longitude
39.233,-112.4029
39.2331,-112.4031
39.2331,-112.4034
39.2331,-112.4035
39.2332,-112.4036
39.2333,-112.4036
39.2334,-112.4037
39.2334,-112.4037
39.2335,-112.4038
39.2335,-112.404
39.2336,-112.4042
39.2337,-112.4044
39.2338,-112.4045
39.2338,-112.4045
39.2338,-112.4047
39.2337,-112.4049
39.2338,-112.4051
39.2338,-112.4053
39.2339,-112.4054
39.2339,-112.4055
39.2338,-112.4056
39.2337,-112.4057
39.2334,-112.4062
39.2333,-112.4062
39.2332,-112.4063
39.2334,-112.4065
39.2335,-112.4066
39.2336,-112.4067
39.2336,-112.4069
39.2335,-112.407
39.2335,-112.4072
39.2334,-112.4074
39.2334,-112.4075
39.2333,-112.4076
39.2333,-112.4077
39.2334,-112.4079
39.2335,-112.408
39.2335,-112.4081
39.2335,-112.4083
39.2335,-112.4085
39.2335,-112.4086
39.2335,-112.4087
39.2334,-112.4087
39.2334,-112.4088
39.2334,-112.4089
39.2334,-112.409
39.2334,-112.4092
39.2334,-112.4094
39.2334,-112.4096
39.2334,-112.4099
39.2334,-112.4099
39.2333,-112.41
39.2332,-112.41
39.2332,-112.4101
39.2332,-112.4102
39.2332,-112.4104
39.2332,-112.4105
39.2332,-112.4106
39.2331,-112.4107
39.233,-112.4108
39.2329,-112.4109
39.2329,-112.411
39.2329,-112.411
39.2329,-112.4111
39.2329,-112.4111
39.2329,-112.4112
39.2328,-112.4113
39.2328,-112.4114
39.2327,-112.4116
39.2327,-112.4118
39.2327,-112.412
39.2327,-112.4122
39.2326,-112.4123
39.2326,-112.4123
39.2325,-112.4124
39.2324,-112.4125
39.2324,-112.4127
39.2324,-112.4128
39.2324,-112.4129
39.2324,-112.413
39.2324,-112.4131
39.2323,-112.4132
39.2322,-112.4134
39.2321,-112.4136
39.2321,-112.4138
39.2322,-112.414
39.2323,-112.414
39.2323,-112.414
39.2322,-112.414
39.2322,-112.4142
39.2321,-112.4143
39.2321,-112.4145
39.232,-112.4147
39.232,-112.4148
39.232,-112.4149
39.232,-112.4149
39.2319,-112.415
39.2319,-112.4151
39.2319,-112.4152
39.2319,-112.4153
39.2319,-112.4155
39.2319,-112.4156
39.2319,-112.4157
39.2318,-112.4158
39.2317,-112.4158
39.2317,-112.4159
39.2316,-112.416
39.2316,-112.416
39.2316,-112.4161
39.2316,-112.4162
39.2316,-112.4163
39.2315,-112.4164
39.2314,-112.4165
39.2313,-112.4166
39.2312,-112.4166
39.2311,-112.4166
39.231,-112.4168
39.231,-112.4169
39.2311,-112.4169
39.231,-112.4171
39.231,-112.4173
39.2308,-112.4174
39.2307,-112.4175
39.2306,-112.4176
39.2306,-112.4177
39.2305,-112.4179
39.2305,-112.418
39.2305,-112.4182
39.2305,-112.4184
39.2305,-112.4186
39.2305,-112.4187
39.2304,-112.4188
39.2304,-112.4189
39.2303,-112.419
39.2303,-112.4191
39.2302,-112.4192
39.2302,-112.4194
39.2301,-112.4196
39.23,-112.4198
39.2299,-112.42
39.2299,-112.4203
39.2299,-112.4205
39.23,-112.4207
39.23,-112.4209
39.2299,-112.4211
39.2299,-112.4213
39.2299,-112.4215
39.2298,-112.4217
39.2298,-112.4218
39.2298,-112.4219
39.2297,-112.4221
39.2297,-112.4223
39.2297,-112.4226
39.2297,-112.4229
39.2297,-112.4232
39.2297,-112.4235
39.2298,-112.4237
39.2297,-112.4241
39.2297,-112.4242
39.2296,-112.4244
39.2296,-112.4247
39.2297,-112.4249
39.2297,-112.4252
39.2298,-112.4254
39.2298,-112.4256
39.2298,-112.4257
39.2297,-112.4258
39.2296,-112.4258
39.2296,-112.4259
39.2296,-112.4261
39.2297,-112.4263
39.2298,-112.4266
39.2299,-112.4268
39.2299,-112.4271
39.23,-112.4273
39.2299,-112.4275
39.2299,-112.4277
39.2299,-112.4279
39.2298,-112.4281
39.2299,-112.4283
39.23,-112.4285
39.2301,-112.4286
39.2301,-112.4288
39.2301,-112.4287
39.2303,-112.4289
39.2303,-112.429
39.2303,-112.4292
39.2303,-112.4293
39.2303,-112.4294
39.2303,-112.4295
39.2304,-112.4298
39.2304,-112.43
39.2305,-112.4305
39.2305,-112.4307
39.2305,-112.431
39.2306,-112.4311
39.2306,-112.4307
39.2307,-112.4312
39.2306,-112.4314
39.2306,-112.4316
39.2304,-112.4319
39.2303,-112.4322
39.2302,-112.4325
39.2303,-112.4327
39.2304,-112.4329
39.2305,-112.4331
39.2305,-112.4332
39.2304,-112.4333
39.2304,-112.4334
39.2303,-112.4335
39.2304,-112.4337
39.2304,-112.4337
39.2304,-112.4337
39.2304,-112.4338
39.2304,-112.4339
39.2304,-112.4341
39.2303,-112.4344
39.2303,-112.4347
39.2304,-112.4348
39.2304,-112.4349
39.2304,-112.435
39.2304,-112.4351
39.2303,-112.4352
39.2303,-112.4353
39.2304,-112.4355
39.2304,-112.4357
39.2304,-112.436
39.2304,-112.4362
39.2304,-112.4365
39.2303,-112.4366
39.2303,-112.4368
39.2302,-112.437
39.2302,-112.4372
39.2303,-112.4374
39.2303,-112.4375
39.2303,-112.4376
39.2303,-112.4377
39.2303,-112.4379
39.2303,-112.4381
39.2303,-112.4384
39.2304,-112.4386
39.2304,-112.4388
39.2304,-112.439
39.2304,-112.4391
39.2304,-112.4392
39.2303,-112.4394
39.2303,-112.4396
